gm (L=4.5e-08) X,gm (L=4.5e-08) YRe,gm (L=4.5e-08) YReImag,gm (L=9e-08) X,gm (L=9e-08) YRe,gm (L=9e-08) YReImag,gm (L=1.35e-07) X,gm (L=1.35e-07) YRe,gm (L=1.35e-07) YReImag,gm (L=1e-06) X,gm (L=1e-06) YRe,gm (L=1e-06) YReImag
2.044465711683051e-09,5.697401741995066e-08,-1.108945866475808e-10,2.044465711683051e-09,6.154134131331197e-08,-1.108192827316496e-10,2.044465711683051e-09,6.220908696911048e-08,-1.10805861170671e-10,2.044465711683051e-09,5.825121032220804e-08,-1.14344473934529e-10
2.067083320009894e-09,5.758322010254357e-08,-1.108981088843677e-10,2.067083320009894e-09,6.219605489944209e-08,-1.108227346339717e-10,2.067083320009894e-09,6.286914650942762e-08,-1.10809634617313e-10,2.067083320009894e-09,5.88468944654759e-08,-1.143636748825611e-10
2.089951143443551e-09,5.81988201846476e-08,-1.109016362569092e-10,2.089951143443551e-09,6.285759263531196e-08,-1.108261926490098e-10,2.089951143443551e-09,6.353606125450689e-08,-1.108134159414633e-10,2.089951143443551e-09,5.944849359507245e-08,-1.143829353336048e-10
2.113071950075095e-09,5.882088303333348e-08,-1.109051687820776e-10,2.113071950075095e-09,6.352602350557388e-08,-1.108296567995801e-10,2.113071950075095e-09,6.420990019638587e-08,-1.108172051717975e-10,2.113071950075095e-09,6.005606463529201e-08,-1.144022554549321e-10
2.13644853861856e-09,5.94494746550345e-08,-1.109087064768327e-10,2.13644853861856e-09,6.420141715985206e-08,-1.108331271086104e-10,2.13644853861856e-09,6.489073298932946e-08,-1.108210023371142e-10,2.13644853861856e-09,6.066966504592177e-08,-1.144216354143379e-10
2.160083738749723e-09,6.008466170137737e-08,-1.10912249358223e-10,2.160083738749723e-09,6.488384391870218e-08,-1.108366035991406e-10,2.160083738749723e-09,6.557862995577105e-08,-1.108248074663354e-10,2.160083738749723e-09,6.128935282744616e-08,-1.144410753801352e-10
2.183980411448629e-09,6.072651147502627e-08,-1.109157974433854e-10,2.183980411448629e-09,6.557337477960349e-08,-1.108400862943226e-10,2.183980411448629e-09,6.627366209227812e-08,-1.108286205885078e-10,2.183980411448629e-09,6.191518652600061e-08,-1.144605755211653e-10
2.208141449345898e-09,6.137509193561991e-08,-1.109193507495465e-10,2.208141449345898e-09,6.627008142300244e-08,-1.108435752174219e-10,2.208141449345898e-09,6.697590107558595e-08,-1.108324417328029e-10,2.208141449345898e-09,6.254722523857273e-08,-1.144801360067921e-10
2.232569777072882e-09,6.20304717057223e-08,-1.109229092940224e-10,2.232569777072882e-09,6.697403621841241e-08,-1.108470703918179e-10,2.232569777072882e-09,6.768541926867221e-08,-1.108362709285181e-10,2.232569777072882e-09,6.31855286182744e-08,-1.144997570069089e-10
2.257268351615672e-09,6.269272007682981e-08,-1.109264730942203e-10,2.257268351615672e-09,6.768531223055477e-08,-1.108505718410047e-10,2.257268351615672e-09,6.84022897268805e-08,-1.108401082050773e-10,2.257268351615672e-09,6.383015687947933e-08,-1.14519438691936e-10
